TRACT,ZIP,LA_TRACT
06037211701,90070,211701
06037211701,90005,211701
06037211701,90020,211701
06037211703,90020,211703
06037211704,90020,211704
06037211704,90005,211704
06037211704,90010,211704
06037211802,90075,211802
06037211802,90005,211802
06037211802,90010,211802
06037211802,90076,211802
06037211802,90020,211802
06037211803,90020,211803
06037211804,90020,211804
06037211910,90020,211910
06037211921,90020,211921
06037211922,90020,211922
06037212101,90020,212101
06037212101,90005,212101
06037212101,90010,212101
06037212102,90010,212102
06037212102,90005,212102
06037212102,90020,212102
06037212202,90006,212202
06037212202,90005,212202
06037212203,90005,212203
06037212203,90010,212203
06037212204,90057,212204
06037212204,90010,212204
06037212204,90005,212204
06037212303,90005,212303
06037212303,90010,212303
06037212304,90005,212304
06037212304,90010,212304
06037212305,90006,212305
06037212305,90005,212305
06037212306,90006,212306
06037212306,90005,212306
06037212410,90005,212410
06037212410,90010,212410
06037212420,90006,212420
06037212420,90005,212420
06037212501,90005,212501
06037212501,90006,212501
06037212502,90005,212502
06037212502,90006,212502
06037212502,90010,212502
06037212610,90010,212610
06037212610,90005,212610
06037212620,90019,212620
06037212620,90006,212620
06037212620,90005,212620
06037212701,90019,212701
06037212701,90005,212701
06037212702,90019,212702
06037212702,90005,212702
06037212702,90010,212702
06037212800,90019,212800
06037212900,90019,212900
06037213100,90019,213100
06037213100,90006,213100
06037213201,90006,213201
06037213202,90006,213202
06037213310,90006,213310
06037213320,90006,213320
06037213401,90006,213401
06037213402,90006,213402
06037214000,90036,214000
06037214100,90036,214100
06037214100,90004,214100
06037214100,90020,214100
06037214400,90036,214400
06037214501,90036,214501
06037214502,90036,214502
06037214503,90036,214503
06037214600,90036,214600
06037214600,90048,214600
06037214700,90036,214700
06037214700,90048,214700
06037214800,90048,214800
06037214901,90048,214901
06037214902,90048,214902
06037215101,90036,215101
06037215102,90036,215102
06037216100,90036,216100
06037216100,90005,216100
06037216100,90019,216100
06037216200,90036,216200
06037216200,90019,216200
06037216300,90048,216300
06037216300,90036,216300
06037216300,90019,216300
06037216401,90035,216401
06037216402,90035,216402
06037216700,90035,216700
06037216700,90019,216700
06037216800,90019,216800
06037216800,90035,216800
06037216800,90048,216800
06037216900,90019,216900
06037216900,90036,216900
06037217001,90035,217001
06037217002,90035,217002
06037217100,90019,217100
06037217200,90019,217200
06037218110,90019,218110
06037218110,90018,218110
06037218120,90018,218120
06037218120,90019,218120
06037218210,90019,218210
06037218210,90016,218210
06037218220,90019,218220
06037218220,90016,218220
06037218300,90019,218300
06037218300,90016,218300
06037218400,90016,218400
06037218500,90016,218500
06037218600,90016,218600
06037218701,90018,218701
06037218701,90016,218701
06037218702,90018,218702
06037218702,90016,218702
06037218800,90018,218800
06037218800,90019,218800
06037218900,90018,218900
06037219010,90018,219010
06037219020,90018,219020
06037219300,90016,219300
06037219300,90018,219300
06037219500,90016,219500
06037219700,90016,219700
06037219800,90016,219800
06037219901,90016,219901
06037219902,90016,219902
06037220000,90016,220000
06037220100,90016,220100
06037221110,90006,221110
06037221120,90007,221120
06037221120,90006,221120
06037221210,90006,221210
06037221210,90018,221210
06037221220,90006,221220
06037221220,90007,221220
06037221302,90018,221302
06037221302,90006,221302
06037221302,90019,221302
06037221303,90019,221303
06037221303,90006,221303
06037221304,90019,221304
06037221401,90018,221401
06037221402,90018,221402
06037221500,90018,221500
06037221500,90007,221500
06037221601,90007,221601
06037221602,90006,221602
06037221602,90007,221602
06037221710,90007,221710
06037221810,90007,221810
06037221820,90089,221820
06037221820,90007,221820
06037221900,90007,221900
06037222001,90018,222001
06037222002,90018,222002
06037222100,90007,222100
06037222100,90018,222100
06037222200,90018,222200
06037222200,90007,222200
06037222500,90018,222500
06037222500,90007,222500
06037222600,90007,222600
06037222700,90037,222700
06037222700,90089,222700
06037222700,90007,222700
06037224010,90015,224010
06037224020,90015,224020
06037224020,90007,224020
06037224020,90011,224020
06037224200,90015,224200
06037224310,90006,224310
06037224320,90015,224320
06037224320,90007,224320
06037224320,90006,224320
06037224410,90015,224410
06037224410,90007,224410
06037224420,90015,224420
06037224420,90007,224420
06037224600,90007,224600
06037224600,90011,224600
06037224700,90007,224700
06037226001,90058,226001
06037226001,90021,226001
06037226001,90015,226001
06037226001,90011,226001
06037226002,90021,226002
06037226002,90015,226002
06037226002,90014,226002
06037226410,90011,226410
06037226420,90011,226420
06037226700,90011,226700
06037227010,90058,227010
06037227010,90011,227010
06037227020,90011,227020
06037228100,90011,228100
06037228100,90058,228100
06037228210,90011,228210
06037228220,90011,228220
06037228310,90011,228310
06037228320,90011,228320
06037228410,90011,228410
06037228420,90037,228420
06037228420,90011,228420
06037228500,90011,228500
06037228500,90037,228500
06037228600,90011,228600
06037228710,90011,228710
06037228720,90011,228720
06037228800,90058,228800
06037228800,90011,228800
06037228900,90011,228900
06037228900,90058,228900
06037229100,90011,229100
06037229200,90011,229200
06037229300,90037,229300
06037229300,90011,229300
06037229410,90011,229410
06037229410,90037,229410
06037229420,90011,229420
06037231100,90007,231100
06037231100,90011,231100
06037231100,90089,231100
06037231100,90037,231100
06037231210,90037,231210
06037231210,90007,231210
06037231220,90007,231220
06037231220,90037,231220
06037231300,90062,231300
06037231300,90037,231300
06037231300,90018,231300
06037231400,90018,231400
06037231400,90062,231400
06037231500,90062,231500
06037231600,90062,231600
06037231600,90037,231600
06037231710,90037,231710
06037231720,90037,231720
06037231800,90037,231800
06037231900,90037,231900
06037231900,90082,231900
06037232110,90037,232110
06037232120,90037,232120
06037232200,90062,232200
06037232200,90037,232200
06037232300,90062,232300
