Median Rent 2016,Tract Number,Neighborhood,Location
1479,141304,Sherman Oaks,"(34.151617, -118.454058)"
1475,141400,Encino,"(34.1568045, -118.475833)"
2208,141500,Encino,"(34.138146, -118.4788925)"
2866,141600,Sherman Oaks,"(34.1376705, -118.459396)"
1633,143100,Toluca Lake,"(34.1478525, -118.3563095)"
1518,143200,Studio City,"(34.149998, -118.3710665)"
1433,143300,Studio City,"(34.1521895, -118.386433)"
1644,143400,Studio City,"(34.153987, -118.409486)"
1688,143500,Studio City,"(34.146964, -118.4092995)"
1682,143602,Studio City,"(34.1449605, -118.387713)"
1540,143603,Studio City,"(34.1438535, -118.3703245)"
1802,143604,Studio City,"(34.1406405, -118.369959)"
1470,143700,Hollywood Hills,"(34.128096, -118.358231)"
1667,143800,Studio City,"(34.1343225, -118.3793935)"
3500,143901,Studio City,"(34.132849, -118.3947615)"
1835,143902,Sherman Oaks,"(34.1378715, -118.418298)"
1105,181000,Eagle Rock,"(34.1439045, -118.204552)"
1642,181300,Eagle Rock,"(34.1364875, -118.2233065)"
1375,181400,Eagle Rock,"(34.1364725, -118.210235)"
1413,181500,Eagle Rock,"(34.133864, -118.1922815)"
1266,181600,Eagle Rock,"(34.1295685, -118.210156)"
1159,183101,Highland Park,"(34.1213355, -118.1819855)"
1230,183103,Highland Park,"(34.116165, -118.1748505)"
1173,183104,Highland Park,"(34.120221, -118.172802)"
1167,183220,Highland Park,"(34.119149, -118.1900895)"
1163,183221,Highland Park,"(34.125332, -118.1907195)"
1096,183222,Eagle Rock,"(34.128003, -118.1965205)"
1315,183300,Highland Park,"(34.1213215, -118.2009575)"
994,183401,Highland Park,"(34.121669, -118.209149)"
1303,183402,Eagle Rock,"(34.125651, -118.216654)"
1092,183510,Highland Park,"(34.1153125, -118.2025785)"
982,183520,Highland Park,"(34.110558, -118.201548)"
1096,183610,Highland Park,"(34.1141535, -118.194381)"
1202,183620,Highland Park,"(34.1147205, -118.189487)"
1173,183701,Highland Park,"(34.108515, -118.186489)"
1340,183702,Montecito Heights,"(34.1047815, -118.184373)"
1077,183810,Highland Park,"(34.1074675, -118.198023)"
1122,183820,Highland Park,"(34.104337, -118.197538)"
1128,185100,Mount Washington,"(34.1047205, -118.211798)"
1268,185202,Mount Washington,"(34.0951035, -118.218046)"
1034,185203,Cypress Park,"(34.099608, -118.2317465)"
1239,185204,Mount Washington,"(34.102575, -118.222414)"
1041,185310,Cypress Park,"(34.091851, -118.222215)"
979,185320,Cypress Park,"(34.0883995, -118.2247575)"
1200,186100,Glassell Park,"(34.1284265, -118.2296325)"
1313,186201,Eagle Rock,"(34.121613, -118.2186485)"
1158,186202,Glassell Park,"(34.120163, -118.2240375)"
1740,186203,Mount Washington,"(34.1149675, -118.215376)"
1111,186301,Glassell Park,"(34.1220355, -118.2414825)"
1203,186302,Glassell Park,"(34.1130175, -118.228915)"
1091,186401,Glassell Park,"(34.118178, -118.2445025)"
1165,186403,Glassell Park,"(34.111287, -118.2393275)"
1133,186404,Glassell Park,"(34.1070285, -118.235004)"
1323,187101,Atwater Village,"(34.1156225, -118.259303)"
1301,187102,Elysian Valley,"(34.100216, -118.2437135)"
1184,187200,Elysian Valley,"(34.101728, -118.2488185)"
1748,187300,Silver Lake,"(34.101596, -118.257665)"
1359,188100,Atwater Village,"(34.137637, -118.270105)"
1525,188201,Los Feliz,"(34.112061, -118.2742745)"
1586,188202,Los Feliz,"(34.116113, -118.2790375)"
1606,188300,Atwater Village,"(34.1203105, -118.2636825)"
1424,189101,Los Feliz,"(34.1047355, -118.2885045)"
1416,189102,Los Feliz,"(34.113089, -118.2888405)"
1225,189201,Los Feliz,"(34.103583, -118.296163)"
1650,189202,Los Feliz,"(34.111557, -118.295845)"
1250,189300,Los Feliz,"(34.112585, -118.306918)"
1690,189400,Hollywood Hills,"(34.120601, -118.3214985)"
1399,189500,Hollywood Hills,"(34.109247, -118.3218185)"
1491,189600,Hollywood Hills,"(34.1127975, -118.330591)"
1897,189701,Hollywood Hills,"(34.129416, -118.3366605)"
1626,189702,Hollywood Hills,"(34.1137465, -118.3421255)"
1628,189800,Hollywood,"(34.0980545, -118.359927)"
1511,189902,Hollywood,"(34.0961785, -118.3490045)"
1660,189903,Hollywood,"(34.1026455, -118.34759)"
1457,189904,Hollywood,"(34.099793, -118.346538)"
1497,189905,Hollywood,"(34.100732, -118.3514465)"
1266,190100,Hollywood,"(34.0992315, -118.3421205)"
1152,190201,Hollywood,"(34.1034935, -118.330009)"
1326,190202,Hollywood,"(34.1033925, -118.335128)"
1026,190301,Hollywood,"(34.103533, -118.3178)"
1156,190401,Los Feliz,"(34.1035725, -118.302783)"
1110,190402,Los Feliz,"(34.103557, -118.307149)"
1145,190510,Hollywood,"(34.0999045, -118.3118915)"
994,190520,East Hollywood,"(34.0999325, -118.303805)"
1197,190700,Hollywood,"(34.098, -118.332675)"
959,190801,Hollywood,"(34.0943795, -118.3244635)"
1134,190802,Hollywood,"(34.094359, -118.3299175)"
983,190901,Hollywood,"(34.094431, -118.3124765)"
1055,190902,Hollywood,"(34.0944055, -118.319012)"
1182,191000,Hollywood,"(34.1016045, -118.320651)"
1006,191110,East Hollywood,"(34.096507, -118.304869)"
1026,191120,East Hollywood,"(34.0929955, -118.3048465)"
1043,191201,East Hollywood,"(34.0985005, -118.296143)"
989,191203,East Hollywood,"(34.093198, -118.293925)"
1003,191204,East Hollywood,"(34.0931035, -118.2982805)"
1138,191301,East Hollywood,"(34.092753, -118.286057)"
1119,191302,East Hollywood,"(34.0973365, -118.287285)"
990,191410,East Hollywood,"(34.0887575, -118.288114)"
1083,191420,East Hollywood,"(34.085129, -118.2880925)"
1051,191500,East Hollywood,"(34.0872185, -118.296096)"
1064,191610,East Hollywood,"(34.0871475, -118.304811)"
1066,191620,East Hollywood,"(34.0877515, -118.3035155)"
883,191710,Hollywood,"(34.0871295, -118.315709)"
937,191720,Hollywood,"(34.0887225, -118.3124455)"
1168,191810,Hollywood,"(34.088927, -118.327716)"
1075,191820,Hollywood,"(34.0852895, -118.3276995)"
1442,191901,Hollywood,"(34.0907325, -118.3386055)"
1588,191902,Hollywood,"(34.0836865, -118.338593)"
1405,192001,Fairfax,"(34.084605, -118.3484225)"
1828,192002,Fairfax,"(34.083696, -118.355049)"
1486,192300,Hancock Park,"(34.079664, -118.3286955)"
1340,192410,Larchmont,"(34.079853, -118.3180955)"
1155,192420,Larchmont,"(34.07987, -118.311338)"
1225,192510,East Hollywood,"(34.07989, -118.3068095)"
998,192520,East Hollywood,"(34.079912, -118.302506)"
1073,192610,East Hollywood,"(34.0818485, -118.296073)"
1037,192620,East Hollywood,"(34.0776705, -118.296054)"
1197,192700,East Hollywood,"(34.0799595, -118.2880545)"
1697,194101,Hollywood Hills West,"(34.113159, -118.352492)"
1839,194102,Hollywood Hills West,"(34.116151, -118.365906)"
2633,194200,Hollywood Hills West,"(34.1037495, -118.3746145)"
2060,194300,Hollywood Hills West,"(34.102775, -118.3877725)"
1580,194401,Beverly Grove,"(34.08455, -118.3641455)"
1958,194402,Beverly Grove,"(34.0851935, -118.3719725)"
1461,194500,Beverly Grove,"(34.079028, -118.370116)"
1900,195100,Silver Lake,"(34.1005075, -118.268184)"
1467,195201,Los Feliz,"(34.1079075, -118.2783115)"
1835,195202,Los Feliz,"(34.102058, -118.279132)"
1445,195300,Los Feliz,"(34.098795, -118.285197)"
1306,195400,Silver Lake,"(34.089784, -118.274927)"
1267,195500,Silver Lake,"(34.089488, -118.2664995)"
1215,195600,Echo Park,"(34.0810905, -118.266765)"
1100,195710,Echo Park,"(34.0748915, -118.2684815)"
1017,195720,Echo Park,"(34.0738655, -118.2637)"
1101,195802,Westlake,"(34.0756415, -118.2780525)"
1226,195803,Silver Lake,"(34.0824335, -118.277218)"
1256,195804,Silver Lake,"(34.0790005, -118.2729125)"
1216,195901,Silver Lake,"(34.0880975, -118.2816585)"
1348,195902,Silver Lake,"(34.08661, -118.279689)"
1166,195903,Silver Lake,"(34.080591, -118.2818)"
1150,197200,Elysian Valley,"(34.0898635, -118.2358515)"
1238,197300,Echo Park,"(34.0815145, -118.2517655)"
1672,197410,Echo Park,"(34.094369, -118.2512135)"
1111,197420,Echo Park,"(34.082834, -118.2561185)"
1386,197500,Echo Park,"(34.0729805, -118.256785)"
1255,197600,Echo Park,"(34.0683535, -118.251864)"
1119,197700,Chinatown,"(34.068935, -118.2444855)"
1034,199000,Lincoln Heights,"(34.081284, -118.21934)"
1171,199110,Montecito Heights,"(34.0797765, -118.197148)"
1004,199120,Lincoln Heights,"(34.0713815, -118.200508)"
969,199201,Lincoln Heights,"(34.076463, -118.211518)"
